method,r,fold,alpha,coverage,shrinkage_alpha,cov_scale
PPLS-SLM-Manifold-Adaptive,5,1,0.05,0.9459171052631579,10.0,0.984553918131953
PPLS-SLM-Manifold-Adaptive,5,1,0.1,0.902578947368421,10.0,0.984553918131953
PPLS-SLM-Manifold-Adaptive,5,1,0.2,0.8173311403508772,10.0,0.984553918131953
PPLS-SLM-Manifold-Adaptive,5,2,0.05,0.9454978070175438,10.0,0.984509917986803
PPLS-SLM-Manifold-Adaptive,5,2,0.1,0.901690350877193,10.0,0.984509917986803
PPLS-SLM-Manifold-Adaptive,5,2,0.2,0.8160521929824561,10.0,0.984509917986803
PPLS-SLM-Manifold-Adaptive,5,3,0.05,0.9453390350877193,10.0,0.9845192666419781
PPLS-SLM-Manifold-Adaptive,5,3,0.1,0.9016921052631579,10.0,0.9845192666419781
PPLS-SLM-Manifold-Adaptive,5,3,0.2,0.8166197368421053,10.0,0.9845192666419781
PPLS-SLM-Manifold-Adaptive,10,1,0.05,0.9468469298245614,5.0,0.9865596129602318
PPLS-SLM-Manifold-Adaptive,10,1,0.1,0.9049723684210527,5.0,0.9865596129602318
PPLS-SLM-Manifold-Adaptive,10,1,0.2,0.8220206140350877,5.0,0.9865596129602318
PPLS-SLM-Manifold-Adaptive,10,2,0.05,0.9465368421052631,5.0,0.9861090126706608
PPLS-SLM-Manifold-Adaptive,10,2,0.1,0.9044302631578948,5.0,0.9861090126706608
PPLS-SLM-Manifold-Adaptive,10,2,0.2,0.8210592105263158,5.0,0.9861090126706608
PPLS-SLM-Manifold-Adaptive,10,3,0.05,0.9467504385964912,5.0,0.986241321216118
PPLS-SLM-Manifold-Adaptive,10,3,0.1,0.9048565789473684,5.0,0.986241321216118
PPLS-SLM-Manifold-Adaptive,10,3,0.2,0.8223307017543859,5.0,0.986241321216118
PPLS-SLM-Manifold-Adaptive,15,1,0.05,0.9432552631578948,0.1,1.0058482577437824
PPLS-SLM-Manifold-Adaptive,15,1,0.1,0.8992214912280702,0.1,1.0058482577437824
PPLS-SLM-Manifold-Adaptive,15,1,0.2,0.8137881578947368,0.1,1.0058482577437824
PPLS-SLM-Manifold-Adaptive,15,2,0.05,0.9486771929824561,10.0,0.9786710330778878
PPLS-SLM-Manifold-Adaptive,15,2,0.1,0.9080969298245614,10.0,0.9786710330778878
PPLS-SLM-Manifold-Adaptive,15,2,0.2,0.8276425438596491,10.0,0.9786710330778878
PPLS-SLM-Manifold-Adaptive,15,3,0.05,0.9429947368421052,0.1,1.0061548933577191
PPLS-SLM-Manifold-Adaptive,15,3,0.1,0.8990864035087719,0.1,1.0061548933577191
PPLS-SLM-Manifold-Adaptive,15,3,0.2,0.813984649122807,0.1,1.0061548933577191
PPLS-SLM-Manifold-Adaptive,20,1,0.05,0.9494030701754386,10.0,0.9763685744570938
PPLS-SLM-Manifold-Adaptive,20,1,0.1,0.9091201754385965,10.0,0.9763685744570938
PPLS-SLM-Manifold-Adaptive,20,1,0.2,0.8293271929824562,10.0,0.9763685744570938
PPLS-SLM-Manifold-Adaptive,20,2,0.05,0.9427692982456141,0.1,1.0112999531723408
PPLS-SLM-Manifold-Adaptive,20,2,0.1,0.8981552631578947,0.1,1.0112999531723408
PPLS-SLM-Manifold-Adaptive,20,2,0.2,0.8122232456140351,0.1,1.0112999531723408
PPLS-SLM-Manifold-Adaptive,20,3,0.05,0.9493337719298246,10.0,0.9761753414701827
PPLS-SLM-Manifold-Adaptive,20,3,0.1,0.9089399122807017,10.0,0.9761753414701827
PPLS-SLM-Manifold-Adaptive,20,3,0.2,0.8294166666666667,10.0,0.9761753414701827
PPLS-SLM-Manifold-Adaptive,30,1,0.05,0.946159649122807,1.0,0.9998614195301867
PPLS-SLM-Manifold-Adaptive,30,1,0.1,0.9029666666666667,1.0,0.9998614195301867
PPLS-SLM-Manifold-Adaptive,30,1,0.2,0.8181802631578947,1.0,0.9998614195301867
PPLS-SLM-Manifold-Adaptive,30,2,0.05,0.9457837719298245,1.0,1.000378131563566
PPLS-SLM-Manifold-Adaptive,30,2,0.1,0.9023535087719299,1.0,1.000378131563566
PPLS-SLM-Manifold-Adaptive,30,2,0.2,0.8173241228070175,1.0,1.000378131563566
PPLS-SLM-Manifold-Adaptive,30,3,0.05,0.9457776315789473,1.0,0.9995839321287496
PPLS-SLM-Manifold-Adaptive,30,3,0.1,0.9026986842105263,1.0,0.9995839321287496
PPLS-SLM-Manifold-Adaptive,30,3,0.2,0.8184565789473685,1.0,0.9995839321287496
