method,r,alpha,coverage_mean,coverage_std
PPLS-SLM-Manifold-Adaptive,5,0.05,0.9455846491228069,0.0002438543901153471
PPLS-SLM-Manifold-Adaptive,5,0.1,0.901987134502924,0.00041847550330010767
PPLS-SLM-Manifold-Adaptive,5,0.2,0.8166676900584795,0.0005232279465129608
PPLS-SLM-Manifold-Adaptive,10,0.05,0.9467114035087719,0.00012956697616765762
PPLS-SLM-Manifold-Adaptive,10,0.1,0.9047530701754386,0.000233102378774765
PPLS-SLM-Manifold-Adaptive,10,0.2,0.8218035087719299,0.0005413092198444891
PPLS-SLM-Manifold-Adaptive,15,0.05,0.9449757309941521,0.002619489025039011
PPLS-SLM-Manifold-Adaptive,15,0.1,0.9021349415204677,0.004216123067193966
PPLS-SLM-Manifold-Adaptive,15,0.2,0.818471783625731,0.006485202883060671
PPLS-SLM-Manifold-Adaptive,20,0.05,0.9471687134502925,0.0031109849639706887
PPLS-SLM-Manifold-Adaptive,20,0.1,0.9054051169590643,0.005126948982599896
PPLS-SLM-Manifold-Adaptive,20,0.2,0.8236557017543861,0.008084049786908626
PPLS-SLM-Manifold-Adaptive,30,0.05,0.9459070175438596,0.00017865509039918887
PPLS-SLM-Manifold-Adaptive,30,0.1,0.9026729532163743,0.0002509810271907157
PPLS-SLM-Manifold-Adaptive,30,0.2,0.8179869883040936,0.0004820999925938892
