component,view,rank,feature,loading
1,RNA,1,FCN1,0.07224534021025429
1,RNA,2,MNDA,0.07108172431791153
1,RNA,3,SERPINA1,0.0703979398166051
1,RNA,4,LYZ,0.0691245737702997
1,RNA,5,FGL2,0.06869377718654628
1,RNA,6,CTSS,0.06840125153533452
1,RNA,7,CSTA,0.06771872031358345
1,RNA,8,NCF2,0.06770593015875112
1,RNA,9,CD14,0.06749442527552023
1,RNA,10,TYMP,0.06740247944145643
1,ADT,1,CLEC12A,0.18396482509131326
1,ADT,2,CD11c,0.17588673486882578
1,ADT,3,CD11b-1,0.17565445766393933
1,ADT,4,CD11b-2,0.1744287211507834
1,ADT,5,CD64,0.17214789366095337
2,RNA,1,MS4A1,-0.2229357948751501
2,RNA,2,CD79A,-0.2221106749988342
2,RNA,3,BANK1,-0.21272907021246734
2,RNA,4,IGHM,-0.20525727286412038
2,RNA,5,LINC00926,-0.19850581176723256
2,RNA,6,RALGPS2,-0.19833097712640546
2,RNA,7,IGHD,-0.19760506281818607
2,RNA,8,TNFRSF13C,-0.193905363763494
2,RNA,9,CD22,-0.19263033075055308
2,RNA,10,VPREB3,-0.190085900704469
2,ADT,1,CD19,-0.2546666793027011
2,ADT,2,CD72,-0.24810609280370116
2,ADT,3,CD22,-0.24235057597274567
2,ADT,4,CD21,-0.21603697452680062
2,ADT,5,CD20,-0.21602110479186543
3,RNA,1,NKG7,-0.18691725928588254
3,RNA,2,PRF1,-0.18538688687192423
3,RNA,3,CST7,-0.1819322031151246
3,RNA,4,GZMA,-0.180000212803753
3,RNA,5,GZMB,-0.17804558015640864
3,RNA,6,GNLY,-0.17666583982413084
3,RNA,7,KLRD1,-0.17663418367817013
3,RNA,8,FGFBP2,-0.17656645177033944
3,RNA,9,GZMH,-0.16150676701053596
3,RNA,10,KLRF1,-0.1610812366487227
3,ADT,1,CD43,-0.28202151845079837
3,ADT,2,CD56-2,-0.23461815536753325
3,ADT,3,CD16,-0.23415081362595308
3,ADT,4,CD244,-0.23372078488562154
3,ADT,5,CD122,-0.19269964924949082
4,RNA,1,PPBP,-0.3444654964854913
4,RNA,2,NRGN,-0.29869905612475905
4,RNA,3,RGS18,-0.25403078297103365
4,RNA,4,F13A1,-0.24908442422085503
4,RNA,5,MPP1,-0.20437745881749989
4,RNA,6,SNN,-0.15761259877680636
4,RNA,7,NCOA4,-0.15631108644617492
4,RNA,8,CTSA,-0.15268793372465714
4,RNA,9,LIMS1,-0.15199964307650657
4,RNA,10,TPM4,-0.1498186990421525
4,ADT,1,CD45-2,0.2453942824928751
4,ADT,2,CD48,0.23539231673652636
4,ADT,3,CD44-1,0.2340242981288672
4,ADT,4,CD44-2,0.23150434999447955
4,ADT,5,CLEC2,-0.1884888125978586
5,RNA,1,HIST1H1E,0.41484181012642607
5,RNA,2,HIST1H1D,0.36725452468379965
5,RNA,3,HIST1H4C,0.34104651206457137
5,RNA,4,MTRNR2L8,0.3212022627563496
5,RNA,5,XIST,0.28466469009376816
5,RNA,6,SYNE2,0.11151901774657183
5,RNA,7,HLA-DQB1,-0.09744033563238187
5,RNA,8,PPBP,0.09222823547676132
5,RNA,9,FOSB,-0.09157767193630692
5,RNA,10,AC020656.1,0.08566374837118282
5,ADT,1,CD307e,0.22307787129415244
5,ADT,2,CD325,-0.20438022148924745
5,ADT,3,CD275-1,-0.19957490047843252
5,ADT,4,TIM-4,0.18245556028148663
5,ADT,5,CD106,0.1729552816814681
