component,view,rank,feature,loading
1,RNA,1,GZMB,0.12208302475775556
1,RNA,2,NKG7,0.11827875589704
1,RNA,3,PRF1,0.11567165223652744
1,RNA,4,CST7,0.11211625765244751
1,RNA,5,KLRD1,0.11120417883185342
1,RNA,6,GNLY,0.11091683137861535
1,RNA,7,FGFBP2,0.10791032865068487
1,RNA,8,SPON2,0.10653713116829559
1,RNA,9,GZMA,0.10202137651437741
1,RNA,10,KLRF1,0.10184261992939615
1,ADT,1,CD16,0.2021156245814762
1,ADT,2,CD244,0.19268181750373545
1,ADT,3,CD335,0.18922406547585593
1,ADT,4,CD4-1,-0.17615679592884026
1,ADT,5,CD127,-0.16842809895128305
2,RNA,1,MS4A1,-0.13216944086091287
2,RNA,2,CD79A,-0.13107289605626335
2,RNA,3,IGHD,-0.12069836349220649
2,RNA,4,IGHM,-0.1199811586016407
2,RNA,5,CD22,-0.1198640181330447
2,RNA,6,BANK1,-0.11946341024456471
2,RNA,7,RALGPS2,-0.11903113907099509
2,RNA,8,VPREB3,-0.11821211113468831
2,RNA,9,TNFRSF13C,-0.11276676726217304
2,RNA,10,LINC00926,-0.11262074868153649
2,ADT,1,CD19,-0.24694314096283904
2,ADT,2,CD22,-0.24621662228856517
2,ADT,3,CD72,-0.24577233652605518
2,ADT,4,CD21,-0.23069032572622838
2,ADT,5,CD268,-0.22421041641455094
3,RNA,1,AL136987.1,0.10399662289010146
3,RNA,2,PLCB4,0.10399662289010138
3,RNA,3,AJAP1,0.10399662289010128
3,RNA,4,RASGEF1B,0.10378814818603573
3,RNA,5,SCT,0.10292194662133189
3,RNA,6,SLC7A5,0.09995899628108437
3,RNA,7,XIST,0.08637208322933926
3,RNA,8,C15orf48,0.0834978310115535
3,RNA,9,ARPP21,0.08239381595103593
3,RNA,10,DNASE1L3,0.08170501304373075
3,ADT,1,CD307e,0.24864181243244488
3,ADT,2,CD109,0.20517474881818518
3,ADT,3,CD106,0.19618666076417995
3,ADT,4,CD209,0.1871156205655601
3,ADT,5,CD275-1,-0.16510126664426575
4,RNA,1,SERPINA1,-0.06405543194407075
4,RNA,2,LYZ,-0.06390128466477331
4,RNA,3,CST3,-0.06381717671446618
4,RNA,4,FCN1,-0.0637532929606313
4,RNA,5,MNDA,-0.06362056595086565
4,RNA,6,FGL2,-0.06203244287005689
4,RNA,7,CTSS,-0.061781872655325816
4,RNA,8,CLEC7A,-0.06173129998360908
4,RNA,9,SPI1,-0.061611483615538316
4,RNA,10,CSTA,-0.06119190811272127
4,ADT,1,CLEC12A,-0.16111618651414217
4,ADT,2,CD64,-0.15807233941070328
4,ADT,3,CD11b-2,-0.15499498098487216
4,ADT,4,CD155,-0.14984835549063708
4,ADT,5,CD86,-0.14842436078161708
5,RNA,1,LRRC26,-0.1010885102602679
5,RNA,2,PTPRS,-0.09914710162063775
5,RNA,3,CUX2,-0.09654296722242654
5,RNA,4,LAMP5,-0.09587519732057202
5,RNA,5,MYMX,-0.09585353004320488
5,RNA,6,DNASE1L3,-0.09553926483511697
5,RNA,7,IL3RA,-0.09236219883681553
5,RNA,8,SCAMP5,-0.09235552249496179
5,RNA,9,SERPINF1,-0.0914456621242903
5,RNA,10,PPM1J,-0.09102663239049169
5,ADT,1,CD123,-0.3622325631062516
5,ADT,2,CD71,-0.20035973282074285
5,ADT,3,CD49d,-0.17300661998091868
5,ADT,4,CD304,-0.17052013193660884
5,ADT,5,CD54,-0.16210299536862632
